Date,Description,Category,Income/Expense,Amount
2024-09-01,Salary from ABC Corp,Income,Income,6000.00
2024-09-02,Grocery shopping at Coles,Groceries,Expense,200.50
2024-09-03,Sydney Water Bill,Utilities,Expense,80.75
2024-09-04,Netflix Subscription,Entertainment,Expense,13.99
2024-09-05,Dinner at The Rocks Cafe,Dining Out,Expense,60.00
2024-09-06,Opal Card Top-up,Transportation,Expense,50.00
2024-09-07,Freelance Graphic Design Work,Income,Income,1500.00
2024-09-08,Petrol at BP Station,Transportation,Expense,70.00
2024-09-09,Gym Membership Fee,Fitness,Expense,40.00
2024-09-10,Rent Payment,Accommodation,Expense,2000.00
2024-09-11,Office Supplies from Officeworks,Miscellaneous,Expense,100.00
2024-09-12,Dividend from Stocks,Investments,Income,250.00
2024-09-13,Coffee at Starbucks,Dining Out,Expense,5.00
2024-09-14,Health Insurance Premium,Insurance,Expense,150.00
2024-09-15,Movie Tickets at Event Cinemas,Entertainment,Expense,30.00
2024-09-16,Grocery shopping at Woolworths,Groceries,Expense,180.25
2024-09-17,Interest Earned on Savings,Income,Income,20.00
2024-09-18,Donation to Red Cross,Charity,Expense,100.00
2024-09-19,Electricity Bill from AGL,Utilities,Expense,120.50
2024-09-20,Lunch at Sushi Train,Dining Out,Expense,25.00
2024-09-21,Amazon Purchase,Shopping,Expense,75.00
2024-09-22,Uber Ride to Airport,Transportation,Expense,35.00
2024-09-23,Flight to Melbourne,Travel,Expense,200.00
2024-09-24,Hotel Stay in Melbourne,Accommodation,Expense,300.00
2024-09-25,Client Payment for Consulting,Income,Income,2000.00
2024-09-26,Parking Fee at Sydney Airport,Transportation,Expense,60.00
2024-09-27,Grocery shopping at Aldi,Groceries,Expense,150.00
2024-09-28,New Laptop from JB Hi-Fi,Electronics,Expense,1500.00
2024-09-29,Birthday Gift from Parents,Income,Income,500.00
2024-09-30,Dinner at Quay Restaurant,Dining Out,Expense,250.00
2024-10-01,Salary from ABC Corp,Income,Income,6000.00
2024-10-02,Grocery shopping at Coles,Groceries,Expense,210.00
2024-10-03,Sydney Water Bill,Utilities,Expense,85.00
2024-10-04,Spotify Subscription,Entertainment,Expense,11.99
2024-10-05,Lunch at Darling Harbour,Dining Out,Expense,45.00
2024-10-06,Opal Card Top-up,Transportation,Expense,50.00
2024-10-07,Freelance Web Design Work,Income,Income,1800.00
2024-10-08,Petrol at Caltex Station,Transportation,Expense,65.00
2024-10-09,Gym Membership Fee,Fitness,Expense,40.00
2024-10-10,Rent Payment,Accommodation,Expense,2000.00
2024-10-11,Office Supplies from Officeworks,Miscellaneous,Expense,90.00
2024-10-12,Dividend from Stocks,Investments,Income,260.00
2024-10-13,Coffee at Gloria Jeans,Dining Out,Expense,4.50
2024-10-14,Health Insurance Premium,Insurance,Expense,150.00
2024-10-15,Concert Tickets at Sydney Opera House,Entertainment,Expense,120.00
2024-10-16,Grocery shopping at Woolworths,Groceries,Expense,190.75
2024-10-17,Interest Earned on Savings,Income,Income,22.00
2024-10-18,Donation to World Wildlife Fund,Charity,Expense,100.00
